127.0.0.1 - - [30/Jan/2023:18:00:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/css/typography.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/css/screen.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/lib/jquery-1.8.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/lib/object-assign-pollyfill.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/lib/jquery.slideto.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/lib/handlebars-4.0.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/lib/jquery.wiggle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/lib/jquery.ba-bbq.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/lib/lodash.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/lib/backbone-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/swagger-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/lib/jsoneditor.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/lib/highlight.9.1.0.pack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/lib/highlight.9.1.0.pack_extended.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/lib/marked.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/lib/swagger-oauth.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/images/logo_small.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:30 +0530] "GET /databeagle/css/print.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:32 +0530] "GET /databeagle/rest/swagger.json HTTP/1.1" 200 4577
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:41 +0530] "GET /databeagle/images/throbber.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:18:00:41 +0530] "GET /databeagle/rest/userservice/users HTTP/1.1" 200 127
